Class,Alcohol,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Color intensity,Hue,Proline
0,14.23,2.43,15.6,127,2.8,3.06,0.28,5.64,1.04,1065
0,13.2,2.14,11.2,100,2.65,2.76,0.26,4.38,1.05,1050
0,13.16,2.67,18.6,101,2.8,3.24,0.3,5.68,1.03,1185
0,14.37,2.5,16.8,113,3.85,3.49,0.24,7.8,0.86,1480
0,13.24,2.87,21,118,2.8,2.69,0.39,4.32,1.04,735
0,14.2,2.45,15.2,112,3.27,3.39,0.34,6.75,1.05,1450
0,14.39,2.45,14.6,96,2.5,2.52,0.3,5.25,1.02,1290
0,14.06,2.61,17.6,121,2.6,2.51,0.31,5.05,1.06,1295
0,14.83,2.17,14,97,2.8,2.98,0.29,5.2,1.08,1045
0,13.86,2.27,16,98,2.98,3.15,0.22,7.22,1.01,1045
0,14.1,2.3,18,105,2.95,3.32,0.22,5.75,1.25,1510
0,14.12,2.32,16.8,95,2.2,2.43,0.26,5,1.17,1280
0,13.75,2.41,16,89,2.6,2.76,0.29,5.6,1.15,1320
0,14.75,2.39,11.4,91,3.1,3.69,0.43,5.4,1.25,1150
0,14.38,2.38,12,102,3.3,3.64,0.29,7.5,1.2,1547
0,13.63,2.7,17.2,112,2.85,2.91,0.3,7.3,1.28,1310
0,14.3,2.72,20,120,2.8,3.14,0.33,6.2,1.07,1280
0,13.83,2.62,20,115,2.95,3.4,0.4,6.6,1.13,1130
0,14.19,2.48,16.5,108,3.3,3.93,0.32,8.7,1.23,1680
0,13.64,2.56,15.2,116,2.7,3.03,0.17,5.1,0.96,845
0,14.06,2.28,16,126,3,3.17,0.24,5.65,1.09,780
0,12.93,2.65,18.6,102,2.41,2.41,0.25,4.5,1.03,770
0,13.71,2.36,16.6,101,2.61,2.88,0.27,3.8,1.11,1035
0,12.85,2.52,17.8,95,2.48,2.37,0.26,3.93,1.09,1015
0,13.5,2.61,20,96,2.53,2.61,0.28,3.52,1.12,845
0,13.05,3.22,25,124,2.63,2.68,0.47,3.58,1.13,830
0,13.39,2.62,16.1,93,2.85,2.94,0.34,4.8,0.92,1195
0,13.3,2.14,17,94,2.4,2.19,0.27,3.95,1.02,1285
0,13.87,2.8,19.4,107,2.95,2.97,0.37,4.5,1.25,915
0,14.02,2.21,16,96,2.65,2.33,0.26,4.7,1.04,1035
0,13.73,2.7,22.5,101,3,3.25,0.29,5.7,1.19,1285
0,13.58,2.36,19.1,106,2.86,3.19,0.22,6.9,1.09,1515
0,13.68,2.36,17.2,104,2.42,2.69,0.42,3.84,1.23,990
0,13.76,2.7,19.5,132,2.95,2.74,0.5,5.4,1.25,1235
0,13.51,2.65,19,110,2.35,2.53,0.29,4.2,1.1,1095
0,13.48,2.41,20.5,100,2.7,2.98,0.26,5.1,1.04,920
0,13.28,2.84,15.5,110,2.6,2.68,0.34,4.6,1.09,880
0,13.05,2.55,18,98,2.45,2.43,0.29,4.25,1.12,1105
0,13.07,2.1,15.5,98,2.4,2.64,0.28,3.7,1.18,1020
0,14.22,2.51,13.2,128,3,3.04,0.2,5.1,0.89,760
0,13.56,2.31,16.2,117,3.15,3.29,0.34,6.13,0.95,795
0,13.41,2.12,18.8,90,2.45,2.68,0.27,4.28,0.91,1035
0,13.88,2.59,15,101,3.25,3.56,0.17,5.43,0.88,1095
0,13.24,2.29,17.5,103,2.64,2.63,0.32,4.36,0.82,680
0,13.05,2.1,17,107,3,3,0.28,5.04,0.88,885
0,14.21,2.44,18.9,111,2.85,2.65,0.3,5.24,0.87,1080
0,14.38,2.28,16,102,3.25,3.17,0.27,4.9,1.04,1065
0,13.9,2.12,16,101,3.1,3.39,0.21,6.1,0.91,985
0,14.1,2.4,18.8,103,2.75,2.92,0.32,6.2,1.07,1060
0,13.94,2.27,17.4,108,2.88,3.54,0.32,8.9,1.12,1260
0,13.05,2.04,12.4,92,2.72,3.27,0.17,7.2,1.12,1150
0,13.83,2.6,17.2,94,2.45,2.99,0.22,5.6,1.24,1265
0,13.82,2.42,14,111,3.88,3.74,0.32,7.05,1.01,1190
0,13.77,2.68,17.1,115,3,2.79,0.39,6.3,1.13,1375
0,13.74,2.25,16.4,118,2.6,2.9,0.21,5.85,0.92,1060
0,13.56,2.46,20.5,116,2.96,2.78,0.2,6.25,0.98,1120
0,14.22,2.3,16.3,118,3.2,3,0.26,6.38,0.94,970
0,13.29,2.68,16.8,102,3,3.23,0.31,6,1.07,1270
0,13.72,2.5,16.7,108,3.4,3.67,0.19,6.8,0.89,1285
1,12.37,1.36,10.6,88,1.98,0.57,0.28,1.95,1.05,520
